"party","vote_text","dem_majority","gop_majority","partisan_vote_type","vote_type_other"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"R","Nay","Equal","Y","Other","Oppo Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
"D","Nay","Equal","Y","Other","Same Party Split"
"D","Yea","Equal","Y","Other","Same Party Split"
